kg_id	ml1m_id	db_id	name	dbpedia_url
51	57	11864	Home for the Holidays (1995)	http://dbpedia.org/resource/Home_for_the_Holidays_(film)
52	60	6300	Indian in the Cupboard, The (1995)	http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film)
53	61	4318	Eye for an Eye (1996)	http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film)
54	62	10315	Mr. Holland's Opus (1995)	http://dbpedia.org/resource/Mr._Holland's_Opus
55	63	3010	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	http://dbpedia.org/resource/Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
56	64	4121	Two if by Sea (1996)	http://dbpedia.org/resource/Two_If_by_Sea
57	65	7554	Bio-Dome (1996)	http://dbpedia.org/resource/Bio-Dome
58	66	11818	Lawnmower Man 2: Beyond Cyberspace (1996)	http://dbpedia.org/resource/Lawnmower_Man_2:_Beyond_Cyberspace
59	67	2420	Two Bits (1995)	http://dbpedia.org/resource/Two_Bits
60	68	13581	French Twist (Gazon maudit) (1995)	http://dbpedia.org/resource/French_Twist_(film)
61	69	13883	Friday (1995)	http://dbpedia.org/resource/Friday_(1995_film)
62	70	13582	From Dusk Till Dawn (1996)	http://dbpedia.org/resource/From_Dusk_till_Dawn
63	71	7116	Fair Game (1995)	http://dbpedia.org/resource/Fair_Game_(1995_film)
64	72	11306	Kicking and Screaming (1995)	http://dbpedia.org/resource/Kicking_and_Screaming_(1995_film)
65	74	7336	Bed of Roses (1996)	http://dbpedia.org/resource/Bed_of_Roses_(1996_film)
66	75	2201	Big Bully (1996)	http://dbpedia.org/resource/Big_Bully_(film)
67	76	377	Screamers (1995)	http://dbpedia.org/resource/Screamers_(1995_film)
68	78	13985	Crossing Guard, The (1995)	http://dbpedia.org/resource/The_Crossing_Guard
69	79	3940	Juror, The (1996)	http://dbpedia.org/resource/The_Juror
70	81	9977	Things to Do in Denver when You're Dead (1995)	http://dbpedia.org/resource/Things_to_Do_in_Denver_When_You're_Dead
71	82	13335	Antonia's Line (Antonia) (1995)	http://dbpedia.org/resource/Antonia's_Line
72	84	116	Last Summer in the Hamptons (1995)	http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
73	86	3415	White Squall (1996)	http://dbpedia.org/resource/White_Squall_(film)
74	87	8111	Dunston Checks In (1996)	http://dbpedia.org/resource/Dunston_Checks_In
75	88	9529	Black Sheep (1996)	http://dbpedia.org/resource/Black_Sheep_(1996_film)
76	89	14116	Nick of Time (1995)	http://dbpedia.org/resource/Nick_of_Time_(film)
77	90	5024	Journey of August King, The (1995)	http://dbpedia.org/resource/The_Journey_of_August_King
78	92	5120	Mary Reilly (1996)	http://dbpedia.org/resource/Mary_Reilly_(film)
79	93	419	Vampire in Brooklyn (1995)	http://dbpedia.org/resource/Vampire_in_Brooklyn
80	94	9000	Beautiful Girls (1996)	http://dbpedia.org/resource/Beautiful_Girls_(film)
81	95	6603	Broken Arrow (1996)	http://dbpedia.org/resource/Broken_Arrow_(1996_film)
82	96	1569	In the Bleak Midwinter (1995)	http://dbpedia.org/resource/In_the_Bleak_Midwinter_(film)
83	98	7176	Shopping (1994)	http://dbpedia.org/resource/Shopping_(film)
84	99	1134	Heidi Fleiss: Hollywood Madam (1995)	http://dbpedia.org/resource/Heidi_Fleiss:_Hollywood_Madam
85	100	7268	City Hall (1996)	http://dbpedia.org/resource/City_Hall_(film)
86	101	9621	Bottle Rocket (1996)	http://dbpedia.org/resource/Bottle_Rocket
87	102	14264	Mr. Wrong (1996)	http://dbpedia.org/resource/Mr._Wrong
88	103	5751	Unforgettable (1996)	http://dbpedia.org/resource/Unforgettable
89	104	8893	Happy Gilmore (1996)	http://dbpedia.org/resource/Happy_Gilmore
90	105	2105	Bridges of Madison County, The (1995)	http://dbpedia.org/resource/The_Bridges_of_Madison_County_(film)
91	107	12096	Muppet Treasure Island (1996)	http://dbpedia.org/resource/Muppet_Treasure_Island
92	108	9794	Catwalk (1995)	http://dbpedia.org/resource/Catwalk_Dogs
93	110	6141	Braveheart (1995)	http://dbpedia.org/resource/Braveheart_(1925_film)
94	111	10215	Taxi Driver (1976)	http://dbpedia.org/resource/Taxi_Driver_(1954_film)
95	113	6787	Before and After (1996)	http://dbpedia.org/resource/Before_and_After_(film)
96	114	10374	Margaret's Museum (1995)	http://dbpedia.org/resource/Margaret's_Museum
97	115	13925	Happiness Is in the Field (1995)	http://dbpedia.org/resource/Happiness_Is_in_the_Field
98	116	11270	Anne Frank Remembered (1995)	http://dbpedia.org/resource/Anne_Frank_Remembered
99	117	5496	Young Poisoner's Handbook, The (1995)	http://dbpedia.org/resource/The_Young_Poisoner's_Handbook
100	118	5738	If Lucy Fell (1996)	http://dbpedia.org/resource/If_Lucy_Fell
101	119	9472	Steal Big, Steal Little (1995)	http://dbpedia.org/resource/Steal_Big_Steal_Little
102	120	9959	Race the Sun (1996)	http://dbpedia.org/resource/Race_the_Sun
103	121	9778	Boys of St. Vincent, The (1993)	http://dbpedia.org/resource/The_Boys_of_St._Vincent
104	122	7786	Boomerang (1992)	http://dbpedia.org/resource/Boomerang_(1992_film)
105	125	7454	Flirting With Disaster (1996)	http://dbpedia.org/resource/Flirting_with_Disaster_(film)
106	126	9560	NeverEnding Story III, The (1994)	http://dbpedia.org/resource/The_NeverEnding_Story_III
107	129	9020	Pie in the Sky (1995)	http://dbpedia.org/resource/Pie_in_the_Sky_(1996_film)
108	130	9360	Angela (1995)	http://dbpedia.org/resource/Angela_(1995_film)
109	131	4257	Frankie Starlight (1995)	http://dbpedia.org/resource/Frankie_Starlight
110	132	2519	Jade (1995)	http://dbpedia.org/resource/Jade_(film)
111	135	3061	Down Periscope (1996)	http://dbpedia.org/resource/Down_Periscope
112	137	8840	Man of the Year (1995)	http://dbpedia.org/resource/Man_of_the_Year_(1995_film)
113	138	11103	Neon Bible, The (1995)	http://dbpedia.org/resource/The_Neon_Bible_(film)
114	139	12180	Target (1995)	http://dbpedia.org/resource/Target_Earth_(film)
115	141	319	Birdcage, The (1996)	http://dbpedia.org/resource/The_Birdcage
116	143	14048	Gospa (1995)	http://dbpedia.org/resource/Gospa
117	144	8191	Brothers McMullen, The (1995)	http://dbpedia.org/resource/The_Brothers_McMullen
118	145	6810	Bad Boys (1995)	http://dbpedia.org/resource/Bad_Boys_(1995_film)
119	146	210	Amazing Panda Adventure, The (1995)	http://dbpedia.org/resource/The_Amazing_Panda_Adventure
120	147	13418	Basketball Diaries, The (1995)	http://dbpedia.org/resource/The_Basketball_Diaries_(film)
121	148	5343	Awfully Big Adventure, An (1995)	http://dbpedia.org/resource/An_Awfully_Big_Adventure
122	149	8494	Amateur (1994)	http://dbpedia.org/resource/Amateur_(film)
123	150	12095	Apollo 13 (1995)	http://dbpedia.org/resource/Apollo_13_(film)
124	151	8730	Rob Roy (1995)	http://dbpedia.org/resource/Rob_Roy
125	152	11119	Addiction, The (1995)	http://dbpedia.org/resource/Addiction_(film)
126	153	355	Batman Forever (1995)	http://dbpedia.org/resource/Batman_Forever
127	154	7097	Belle de jour (1967)	http://dbpedia.org/resource/Belle_de_Jour_(film)
128	155	1643	Beyond Rangoon (1995)	http://dbpedia.org/resource/Beyond_Rangoon
129	156	13295	Blue in the Face (1995)	http://dbpedia.org/resource/Blue_in_the_Face
130	157	10344	Canadian Bacon (1994)	http://dbpedia.org/resource/Canadian_Bacon
131	158	13131	Casper (1995)	http://dbpedia.org/resource/Casper_(film)
132	159	9715	Clockers (1995)	http://dbpedia.org/resource/Clockers_(film)
133	160	218	Congo (1995)	http://dbpedia.org/resource/Congo_(film)
134	161	7013	Crimson Tide (1995)	http://dbpedia.org/resource/Crimson_Tide_(film)
135	162	6029	Crumb (1994)	http://dbpedia.org/resource/Crumb_(film)
136	163	5777	Desperado (1995)	http://dbpedia.org/resource/Desperado_(film)
137	164	3237	Devil in a Blue Dress (1995)	http://dbpedia.org/resource/Devil_in_a_Blue_Dress_(film)
138	165	2088	Die Hard: With a Vengeance (1995)	http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
139	166	9143	Doom Generation, The (1995)	http://dbpedia.org/resource/The_Doom_Generation
140	167	11407	Feast of July (1995)	http://dbpedia.org/resource/Feast_of_July
141	168	12753	First Knight (1995)	http://dbpedia.org/resource/First_Knight
142	169	752	Free Willy 2: The Adventure Home (1995)	http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home
143	170	10551	Hackers (1995)	http://dbpedia.org/resource/Hackers_(film)
144	171	10969	Jeffrey (1995)	http://dbpedia.org/resource/Jeffrey_(film)
145	172	12402	Johnny Mnemonic (1995)	http://dbpedia.org/resource/Johnny_Mnemonic_(film)
146	173	9513	Judge Dredd (1995)	http://dbpedia.org/resource/Judge_Dredd_(film)
147	174	3054	Jury Duty (1995)	http://dbpedia.org/resource/Jury_Duty_(film)
148	175	5858	Kids (1995)	http://dbpedia.org/resource/Kids_(film)
149	176	4073	Living in Oblivion (1995)	http://dbpedia.org/resource/Living_in_Oblivion
150	177	103	Lord of Illusions (1995)	http://dbpedia.org/resource/Lord_of_Illusions
151	178	7808	Love & Human Remains (1993)	http://dbpedia.org/resource/Love_and_Human_Remains
152	179	10371	Mad Love (1995)	http://dbpedia.org/resource/Mad_Love_(1995_film)
153	180	13291	Mallrats (1995)	http://dbpedia.org/resource/Mallrats
154	181	11963	Mighty Morphin Power Rangers: The Movie (1995)	http://dbpedia.org/resource/Mighty_Morphin_Power_Rangers:_The_Movie
155	182	8732	Moonlight and Valentino (1995)	http://dbpedia.org/resource/Moonlight_and_Valentino
156	183	2914	Mute Witness (1994)	http://dbpedia.org/resource/Mute_Witness
157	184	2140	Nadja (1994)	http://dbpedia.org/resource/Nadja_(film)
158	185	6045	Net, The (1995)	http://dbpedia.org/resource/NetForce_(film)
159	186	12614	Nine Months (1995)	http://dbpedia.org/resource/Nine_Months
160	187	2890	Party Girl (1995)	http://dbpedia.org/resource/Party_Girl_(1995_film)
161	188	1057	Prophecy, The (1995)	http://dbpedia.org/resource/Prophecy_(film)
162	189	9125	Reckless (1995)	http://dbpedia.org/resource/Reckless_(1995_film)
163	190	7078	Safe (1995)	http://dbpedia.org/resource/Safe_(1995_film)
164	191	9749	Scarlet Letter, The (1995)	http://dbpedia.org/resource/The_Scarlet_Letter_(1995_film)
165	192	11008	Show, The (1995)	http://dbpedia.org/resource/High_School_Musical_2
166	193	5566	Showgirls (1995)	http://dbpedia.org/resource/Showgirls
167	194	5166	Smoke (1995)	http://dbpedia.org/resource/Smoke_(film)
168	195	3350	Something to Talk About (1995)	http://dbpedia.org/resource/Something_to_Talk_About_(film)
169	196	2995	Species (1995)	http://dbpedia.org/resource/Species_(film)
170	197	1339	Stars Fell on Henrietta, The (1995)	http://dbpedia.org/resource/The_Stars_Fell_on_Henrietta
171	198	6650	Strange Days (1995)	http://dbpedia.org/resource/Strange_Days_(film)
172	199	1117	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	http://dbpedia.org/resource/The_Umbrellas_of_Cherbourg
173	200	10991	Tie That Binds, The (1995)	http://dbpedia.org/resource/The_Tie_That_Binds_(1995_film)
174	201	10909	Three Wishes (1995)	http://dbpedia.org/resource/Three_Wishes_(film)
175	202	8821	Total Eclipse (1995)	http://dbpedia.org/resource/Total_Eclipse_(film)
176	203	11070	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar
177	204	12219	Under Siege 2: Dark Territory (1995)	http://dbpedia.org/resource/Under_Siege_2:_Dark_Territory
178	205	1821	Unstrung Heroes (1995)	http://dbpedia.org/resource/Unstrung_Heroes
179	206	7538	Unzipped (1995)	http://dbpedia.org/resource/Unzipped_(film)
180	207	5297	Walk in the Clouds, A (1995)	http://dbpedia.org/resource/A_Walk_in_the_Clouds
181	208	5569	Waterworld (1995)	http://dbpedia.org/resource/Waterworld
182	209	13846	White Man's Burden (1995)	http://dbpedia.org/resource/White_Man's_Burden_(film)
183	211	2773	Browning Version, The (1994)	http://dbpedia.org/resource/The_Browning_Version_(1994_film)
184	212	5754	Bushwhacked (1995)	http://dbpedia.org/resource/Bushwhacked_(film)
185	213	8200	Burnt By the Sun (Utomlyonnye solntsem) (1994)	http://dbpedia.org/resource/Burnt_by_the_Sun
186	215	10301	Before Sunrise (1995)	http://dbpedia.org/resource/Before_Sunrise
187	216	14240	Billy Madison (1995)	http://dbpedia.org/resource/Billy_Madison
188	217	3907	Babysitter, The (1995)	http://dbpedia.org/resource/The_Babysitter
189	218	13807	Boys on the Side (1995)	http://dbpedia.org/resource/Boys_on_the_Side
190	219	11113	Cure, The (1995)	http://dbpedia.org/resource/Cure_(film)
191	220	1394	Castle Freak (1995)	http://dbpedia.org/resource/Castle_Freak
192	222	9583	Circle of Friends (1995)	http://dbpedia.org/resource/Circle_of_Friends_(1995_film)
193	223	9018	Clerks (1994)	http://dbpedia.org/resource/Clerks_II
194	224	5972	Don Juan DeMarco (1995)	http://dbpedia.org/resource/Don_Juan_DeMarco
195	225	2278	Disclosure (1994)	http://dbpedia.org/resource/Disclosure_(film)
196	227	7588	Drop Zone (1994)	http://dbpedia.org/resource/Drop_Zone_(film)
197	228	4841	Destiny Turns on the Radio (1995)	http://dbpedia.org/resource/Destiny_Turns_on_the_Radio
198	229	11411	Death and the Maiden (1994)	http://dbpedia.org/resource/Death_and_the_Maiden_(film)
199	230	2712	Dolores Claiborne (1994)	http://dbpedia.org/resource/Dolores_Claiborne_(film)
200	231	9922	Dumb & Dumber (1994)	http://dbpedia.org/resource/Dumb_and_Dumber
201	233	422	Exotica (1994)	http://dbpedia.org/resource/Exotica_(film)
202	234	14332	Exit to Eden (1994)	http://dbpedia.org/resource/Exit_to_Eden_(film)
203	235	6931	Ed Wood (1994)	http://dbpedia.org/resource/Ed_Wood_(film)
204	236	5959	French Kiss (1995)	http://dbpedia.org/resource/French_Kiss_(1995_film)
205	237	2535	Forget Paris (1995)	http://dbpedia.org/resource/Forget_Paris
206	238	252	Far From Home: The Adventures of Yellow Dog (1995)	http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
207	239	10011	Goofy Movie, A (1995)	http://dbpedia.org/resource/A_Goofy_Movie
208	240	12496	Hideaway (1995)	http://dbpedia.org/resource/Hideaway_(film)
209	241	4263	Fluke (1995)	http://dbpedia.org/resource/Fluke_(film)
210	242	12915	Farinelli: il castrato (1994)	http://dbpedia.org/resource/Farinelli_(film)
211	243	5017	Gordy (1995)	http://dbpedia.org/resource/Gordy
212	244	928	Gumby: The Movie (1995)	http://dbpedia.org/resource/Gumby:_The_Movie
213	245	4487	Glass Shield, The (1994)	http://dbpedia.org/resource/The_Glass_Shield
214	246	5253	Hoop Dreams (1994)	http://dbpedia.org/resource/Hoop_Dreams
215	247	5534	Heavenly Creatures (1994)	http://dbpedia.org/resource/Heavenly_Creatures
216	248	6063	Houseguest (1994)	http://dbpedia.org/resource/Houseguest
217	249	7165	Immortal Beloved (1994)	http://dbpedia.org/resource/Immortal_Beloved_(film)
218	250	11767	Heavyweights (1994)	http://dbpedia.org/resource/Heavyweights
219	251	2423	Hunted, The (1995)	http://dbpedia.org/resource/Hunted_(film)
220	252	10029	I.Q. (1994)	http://dbpedia.org/resource/I.Q._(film)
221	253	13460	Interview with the Vampire (1994)	http://dbpedia.org/resource/Interview_with_the_Vampire:_The_Vampire_Chronicles
222	254	14118	Jefferson in Paris (1995)	http://dbpedia.org/resource/Jefferson_in_Paris
223	255	4892	Jerky Boys, The (1994)	http://dbpedia.org/resource/The_Jerky_Boys:_The_Movie
224	256	47	Junior (1994)	http://dbpedia.org/resource/Junior_(1994_film)
225	257	4205	Just Cause (1995)	http://dbpedia.org/resource/Just_Cause_(film)
226	258	605	Kid in King Arthur's Court, A (1995)	http://dbpedia.org/resource/A_Kid_in_King_Arthur's_Court
227	259	11810	Kiss of Death (1995)	http://dbpedia.org/resource/Kiss_of_Death_(1995_film)
228	260	6726	Star Wars: Episode IV - A New Hope (1977)	http://dbpedia.org/resource/Star_Wars_(film)
229	261	9531	Little Women (1994)	http://dbpedia.org/resource/Little_Women_(1994_film)
230	263	3648	Ladybird Ladybird (1994)	http://dbpedia.org/resource/Ladybird,_Ladybird_(film)
231	265	14647	Like Water for Chocolate (Como agua para chocolate) (1992)	http://dbpedia.org/resource/Like_Water_for_Chocolate_(film)
232	266	4028	Legends of the Fall (1994)	http://dbpedia.org/resource/Legends_of_the_Fall
233	267	6232	Major Payne (1994)	http://dbpedia.org/resource/Major_Payne
234	268	3005	Little Odessa (1994)	http://dbpedia.org/resource/Little_Odessa
235	270	356	Love Affair (1994)	http://dbpedia.org/resource/Love_Affair_(1994_film)
236	271	947	Losing Isaiah (1995)	http://dbpedia.org/resource/Losing_Isaiah
237	272	4402	Madness of King George, The (1994)	http://dbpedia.org/resource/The_Madness_of_King_George
238	273	3461	Mary Shelley's Frankenstein (1994)	http://dbpedia.org/resource/Mary_Shelley's_Frankenstein_(film)
239	274	6349	Man of the House (1995)	http://dbpedia.org/resource/Man_of_the_House_(1995_film)
240	275	14230	Mixed Nuts (1994)	http://dbpedia.org/resource/Mixed_Nuts_(1922_film)
241	276	6006	Milk Money (1994)	http://dbpedia.org/resource/Milk_Money_(film)
242	277	13967	Miracle on 34th Street (1994)	http://dbpedia.org/resource/Miracle_on_34th_Street_(1994_film)
243	278	9858	Miami Rhapsody (1995)	http://dbpedia.org/resource/Miami_Rhapsody
244	279	2882	My Family (1995)	http://dbpedia.org/resource/My_Family_(film)
245	280	7926	Murder in the First (1995)	http://dbpedia.org/resource/Murder_in_the_First
246	281	4796	Nobody's Fool (1994)	http://dbpedia.org/resource/Nobody's_Fool_(1994_film)
247	282	4404	Nell (1994)	http://dbpedia.org/resource/Nell_(film)
248	283	13085	New Jersey Drive (1995)	http://dbpedia.org/resource/New_Jersey_Drive
249	286	9131	Nemesis 2: Nebula (1995)	http://dbpedia.org/resource/Nemesis_2:_Nebula
250	288	4768	Natural Born Killers (1994)	http://dbpedia.org/resource/Natural_Born_Killers
251	289	792	Only You (1994)	http://dbpedia.org/resource/Only_You_(1994_film)
252	290	4178	Once Were Warriors (1994)	http://dbpedia.org/resource/Once_Were_Warriors_(film)
253	291	7404	Poison Ivy II (1995)	http://dbpedia.org/resource/Poison_Ivy_II:_Lily
254	292	1098	Outbreak (1995)	http://dbpedia.org/resource/Outbreak_(film)
255	294	5707	Perez Family, The (1995)	http://dbpedia.org/resource/The_Perez_Family
256	295	1848	Pyromaniac's Love Story, A (1995)	http://dbpedia.org/resource/A_Pyromaniac's_Love_Story
257	296	7638	Pulp Fiction (1994)	http://dbpedia.org/resource/Pulp_Fiction
258	297	5142	Panther (1995)	http://dbpedia.org/resource/The_Pink_Panther_(1963_film)
259	298	3823	Pushing Hands (1992)	http://dbpedia.org/resource/Pushing_Hands_(film)
260	299	9288	Priest (1994)	http://dbpedia.org/resource/Priest_(1994_film)
261	300	10438	Quiz Show (1994)	http://dbpedia.org/resource/Quiz_Show_(film)
262	301	6097	Picture Bride (1995)	http://dbpedia.org/resource/Picture_Bride_(film)
263	303	10689	Quick and the Dead, The (1995)	http://dbpedia.org/resource/The_Quick_and_the_Dead_(1995_film)
264	304	2254	Roommates (1995)	http://dbpedia.org/resource/Roommates_(1995_film)
265	306	7879	Three Colors: Red (1994)	http://dbpedia.org/resource/Three_Colors:_Red
266	307	202	Three Colors: Blue (1993)	http://dbpedia.org/resource/Three_Colors:_Blue
267	308	11227	Three Colors: White (1994)	http://dbpedia.org/resource/Three_Colors:_White
268	309	13485	Red Firecracker, Green Firecracker (1994)	http://dbpedia.org/resource/Red_Firecracker,_Green_Firecracker
269	310	10399	Rent-a-Kid (1995)	http://dbpedia.org/resource/Rent-a-Kid
270	311	2547	Relative Fear (1994)	http://dbpedia.org/resource/Relative_Fear
271	312	14476	Stuart Saves His Family (1995)	http://dbpedia.org/resource/Stuart_Saves_His_Family
272	313	12476	Swan Princess, The (1994)	http://dbpedia.org/resource/The_Swan_Princess
273	314	9271	Secret of Roan Inish, The (1994)	http://dbpedia.org/resource/The_Secret_of_Roan_Inish
274	315	14132	Specialist, The (1994)	http://dbpedia.org/resource/The_Specialist
275	316	4998	Stargate (1994)	http://dbpedia.org/resource/Stargate_(film)
276	317	2574	Santa Clause, The (1994)	http://dbpedia.org/resource/Santa_Claus_Conquers_the_Martians
277	318	14491	Shawshank Redemption, The (1994)	http://dbpedia.org/resource/The_Shawshank_Redemption
278	319	5686	Shallow Grave (1994)	http://dbpedia.org/resource/Shallow_Grave
279	320	14288	Suture (1993)	http://dbpedia.org/resource/Suture_(film)
280	322	13041	Swimming with Sharks (1995)	http://dbpedia.org/resource/Swimming_with_Sharks
281	324	11247	Sum of Us, The (1994)	http://dbpedia.org/resource/The_Sum_of_Us_(film)
282	325	3247	National Lampoon's Senior Trip (1995)	http://dbpedia.org/resource/National_Lampoon's_Senior_Trip
283	326	1488	To Live (Huozhe) (1994)	http://dbpedia.org/resource/To_Live_(1994_film)
284	327	10608	Tank Girl (1995)	http://dbpedia.org/resource/Tank_Girl_(film)
285	328	9121	Tales From the Crypt Presents: Demon Knight (1995)	http://dbpedia.org/resource/Demon_Knight
286	329	691	Star Trek: Generations (1994)	http://dbpedia.org/resource/Star_Trek_Generations
287	330	3882	Tales from the Hood (1995)	http://dbpedia.org/resource/Tales_from_the_Hood
288	331	9873	Tom & Viv (1994)	http://dbpedia.org/resource/Tom_&_Viv
289	332	12874	Village of the Damned (1995)	http://dbpedia.org/resource/Village_of_the_Damned_(1995_film)
290	333	505	Tommy Boy (1995)	http://dbpedia.org/resource/Tommy_Boy
291	334	8178	Vanya on 42nd Street (1994)	http://dbpedia.org/resource/Vanya_on_42nd_Street
292	335	13369	Underneath, The (1995)	http://dbpedia.org/resource/Underneath_the_Arches_(film)
293	336	12621	Walking Dead, The (1995)	http://dbpedia.org/resource/The_Walking_Dead_(1995_film)
294	337	3732	What's Eating Gilbert Grape (1993)	http://dbpedia.org/resource/What's_Eating_Gilbert_Grape
295	338	2285	Virtuosity (1995)	http://dbpedia.org/resource/Virtuosity
296	340	650	War, The (1994)	http://dbpedia.org/resource/The_War_(1994_film)
297	341	3040	Double Happiness (1994)	http://dbpedia.org/resource/Double_Happiness_(film)
298	342	11091	Muriel's Wedding (1994)	http://dbpedia.org/resource/Muriel's_Wedding
299	343	14563	Baby-Sitters Club, The (1995)	http://dbpedia.org/resource/The_Baby-Sitters_Club_(film)
300	344	5093	Ace Ventura: Pet Detective (1994)	http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective
301	345	11400	Adventures of Priscilla, Queen of the Desert, The (1994)	http://dbpedia.org/resource/The_Adventures_of_Priscilla,_Queen_of_the_Desert
302	346	7254	Backbeat (1993)	http://dbpedia.org/resource/Backbeat_(film)
303	347	7972	Bitter Moon (1992)	http://dbpedia.org/resource/Bitter_Moon
304	348	13971	Bullets Over Broadway (1994)	http://dbpedia.org/resource/Bullets_over_Broadway
305	349	2367	Clear and Present Danger (1994)	http://dbpedia.org/resource/Clear_and_Present_Danger_(film)
306	350	9907	Client, The (1994)	http://dbpedia.org/resource/The_Client_(1994_film)
